"bin","bbl"
1051925,1016310035
1051924,1016310034
1051923,1016310033
1051922,1016310031
1089052,1016310030
1051917,1016310025
1051916,1016310024
1051915,1016310023
1051914,1016310022
1051912,1016310016
1051911,1016310014
1051910,1016310014
1051909,1016310012
1051908,1016310011
1089852,1016310001
1087730,1016307502
1084317,1016307501
1074219,1016307501
1051907,1016300072
1088166,1016300070
1051905,1016300069
1051904,1016300067
1051903,1016300065
1051902,1016300063
1051901,1016300061
1051900,1016300060
1051899,1016300059
1051898,1016300056
1051897,1016300053
1051896,1016300052
1083443,1016300041
1083442,1016300041
1083441,1016300041
1083440,1016300041
1083439,1016300041
1083438,1016300041
1074218,1016300041
1082390,1016300038
1080656,1016300038
1080655,1016300038
1080654,1016300038
1080653,1016300038
1051895,1016300035
1085257,1016300033
1051894,1016300033
1051893,1016300032
1051892,1016300031
1051890,1016300029
1051888,1016300027
1051887,1016300025
1051886,1016300022
1051885,1016300022
1051884,1016300021
1051883,1016300020
1051882,1016300016
1051881,1016300014
1051880,1016300012
1051879,1016300010
1051878,1016300008
1051877,1016300007
1087964,1016300005
1051876,1016300003
1051875,1016300002
1051874,1016300001
1051873,1016290172
1051871,1016290158
1051870,1016290157
1051869,1016290150
1051868,1016290116
1051867,1016290115
1051866,1016290103
1051865,1016290102
1051864,1016290101
1051863,1016290072
1051862,1016290066
1051861,1016290065
1051860,1016290064
1051859,1016290063
1051858,1016290062
1051857,1016290061
1051856,1016290060
1051872,1016290059
1051855,1016290058
1051854,1016290050
1051853,1016290049
1051852,1016290048
1051851,1016290047
1051850,1016290040
1051849,1016290033
1051848,1016290030
1051847,1016290030
1051846,1016290028
1051845,1016290027
1051844,1016290025
1051843,1016290024
1085680,1016290020
1051842,1016290014
1051841,1016290013
1051840,1016290012
1051839,1016290011
1051838,1016290010
1051837,1016290009
1051836,1016290008
1051835,1016290007
1051834,1016290006
1082662,1016290004
1051833,1016290003
1051832,1016290002
1051831,1016290001
1076346,1016287502
1074208,1016287501
1051830,1016280171
1051829,1016280169
1051828,1016280167
1051827,1016280165
1051826,1016280163
1051825,1016280103
1076345,1016280072
1051824,1016280071
1051823,1016280070
1051822,1016280069
1051821,1016280068
1051820,1016280067
1051819,1016280066
1051818,1016280065
1051817,1016280064
1051816,1016280062
1051815,1016280057
1051814,1016280052
1051813,1016280050
1051812,1016280049
1051811,1016280048
1051807,1016280039
1087540,1016280037
1051806,1016280036
1051805,1016280035
1051804,1016280034
1051803,1016280033
1051802,1016280032
1051801,1016280031
1051800,1016280030
1051799,1016280029
1051798,1016280028
1051797,1016280026
1051796,1016280024
1051795,1016280022
1051794,1016280020
1051793,1016280014
1051792,1016280013
1051791,1016280010
1051790,1016280010
1051789,1016280006
1051788,1016280006
1051787,1016280006
1051786,1016280006
1051784,1016280004
1051782,1016280002
1051781,1016280001
1087366,1016277501
1051780,1016270050
1051779,1016270048
1087333,1016270046
1051778,1016270045
1051777,1016270044
1051776,1016270043
1051775,1016270041
1051774,1016270040
1051773,1016270039
1051772,1016270038
1087332,1016270037
1051771,1016270036
1051770,1016270035
1051769,1016270034
1085256,1016270033
1051768,1016270033
1051767,1016270032
1051766,1016270031
1051765,1016270030
1051764,1016270029
1051763,1016270028
1051762,1016270027
1051761,1016270026
1051760,1016270025
1051759,1016270024
1051758,1016270023
1051757,1016270022
1051756,1016270021
1051755,1016270020
1086037,1016270001
1051753,1016260040
1082320,1016260021
1082319,1016260021
1078912,1016260001
1078911,1016260001
1051752,1016250168
1051750,1016250102
1051751,1016250101
1051749,1016250072
1078908,1016250071
1078909,1016250070
1051748,1016250069
1051747,1016250068
1051746,1016250067
1051743,1016250053
1076344,1016250052
1051742,1016250051
1051741,1016250050
1051740,1016250048
1051739,1016250047
1089773,1016250046
1051738,1016250033
1051737,1016250028
1051736,1016250027
1051735,1016250026
1051734,1016250025
1051733,1016250024
1051732,1016250023
1051731,1016250022
1051729,1016250020
1088689,1016250016
1051728,1016250013
1051727,1016250010
1051726,1016250009
1051724,1016250006
1051723,1016250005
1051722,1016250004
1051721,1016250003
1051720,1016250002
1051719,1016250001
1087729,1016247501
1051717,1016240069
1051716,1016240066
1051715,1016240064
1051714,1016240063
1051713,1016240060
1087218,1016240049
1051711,1016240044
1051710,1016240043
1051709,1016240041
1082901,1016240033
1051705,1016240025
1051704,1016240021
1051703,1016240020
1086030,1016240015
1051700,1016240014
1051699,1016240011
1051698,1016240010
1051697,1016240009
1051696,1016240007
1051695,1016240001
1086215,1016237501
1086460,1016230226
1086458,1016230147
1086456,1016230143
1086452,1016230142
1085989,1016230141
1085988,1016230140
1085990,1016230139
1085987,1016230138
1085986,1016230137
1085985,1016230136
1085984,1016230135
1085983,1016230134
1085982,1016230133
1086028,1016230132
1086027,1016230131
1086026,1016230130
1086025,1016230129
1086024,1016230128
1086023,1016230127
1086022,1016230126
1086021,1016230125
1086020,1016230124
1086017,1016230123
1086002,1016230122
1086004,1016230121
1086005,1016230120
1086006,1016230119
1086008,1016230118
1086012,1016230117
1086010,1016230116
1086015,1016230115
1086014,1016230114
1086016,1016230113
1085992,1016230112
1085993,1016230111
1085994,1016230110
1085995,1016230109
1085996,1016230108
1085998,1016230107
1085997,1016230106
1086000,1016230105
1085999,1016230103
1086001,1016230102
1086459,1016230048
1086563,1016230047
1086564,1016230045
1086457,1016230044
1086454,1016230043
1086565,1016230042
1086566,1016230041
1051690,1016230039
1051688,1016230035
1051687,1016230034
1086449,1016230032
1086448,1016230031
1051685,1016230030
1086447,1016230029
1086446,1016230027
1086444,1016230026
1086567,1016230025
1086443,1016230024
1085991,1016230001
1089838,1016227501
1087437,1016220073
1051684,1016220053
1051683,1016220052
1051682,1016220051
1086216,1016220043
1051675,1016220037
1051672,1016220033
1087331,1016220031
1051669,1016220030
1051668,1016220029
1089050,1016220020
1074189,1016220020
1080650,1016220017
1080648,1016220017
1074188,1016220005
1051665,1016220001
1088480,1016217502
1088766,1016217501
1051664,1016210168
1051663,1016210145
1051662,1016210071
1051661,1016210070
1051660,1016210069
1089049,1016210067
1051659,1016210066
1051658,1016210065
1051657,1016210064
1051656,1016210063
1051655,1016210062
1051654,1016210061
1051653,1016210060
1051652,1016210052
1051651,1016210050
1051650,1016210049
1051649,1016210048
1051648,1016210047
1074186,1016210043
1081339,1016210041
1051646,1016210036
1051645,1016210035
1051644,1016210032
1051643,1016210031
1051642,1016210029
1051641,1016210028
1051638,1016210022
1051637,1016210022
1051636,1016210020
1074185,1016210014
1074184,1016210013
1081497,1016210012
1051635,1016210006
1089048,1016210005
1051634,1016210002
1088600,1016200999
1088599,1016200999
1051633,1016200040
1080643,1016200023
1080642,1016200023
1080641,1016200023
1080640,1016200023
1051632,1016180014
1080509,1016180001
1080508,1016180001
1080505,1016180001
1080504,1016180001
1080503,1016180001
1080502,1016180001
1080501,1016180001
1080500,1016180001
1051629,1016170021
1089047,1016170020
1051628,1016170007
1086046,1016170001
1089776,1016167501
1051626,1016160141
1051625,1016160123
1051624,1016160052
1089399,1016160051
1051622,1016160050
1088912,1016160049
1051620,1016160039
1051619,1016160038
1051617,1016160035
1051616,1016160034
1051615,1016160033
1087365,1016160024
1051612,1016160020
1085255,1016160001
1085254,1016160001
1085253,1016160001
1078884,1016160001
1089046,1016157501
1051606,1016150060
1051604,1016150057
1051603,1016150056
1051602,1016150055
1078868,1016150023
1078867,1016150023
1051601,1016150014
1051600,1016150011
1051599,1016150010
1051598,1016150009
1086163,1016147501
1051595,1016140069
1051594,1016140066
1051593,1016140064
1051592,1016140063
1051591,1016140062
1051590,1016140061
1051589,1016140060
1051588,1016140058
1051587,1016140057
1051584,1016140021
1051583,1016140017
1051582,1016140016
1051581,1016140014
1051580,1016140013
1051579,1016140012
1051578,1016140001
1051516,1016137501
1085970,1016130070
1087109,1016130023
1078858,1016130023
1078857,1016130023
1085251,1016130006
1085250,1016130006
1076337,1016130006
1051515,1016120050
1051514,1016120001
1081333,1016110015
1087247,1016110001
1087246,1016110001
1051513,1016110001
1051511,1016100064
1051510,1016100062
1051509,1016100060
1051508,1016100059
1051507,1016100058
1051506,1016100057
1051505,1016100056
1051504,1016100055
1078841,1016100023
1078840,1016100023
1078839,1016100023
1078838,1016100023
1051501,1016100013
1088168,1016100012
1088167,1016100011
1051500,1016100009
1051499,1016100001
1051497,1016090007
1074157,1016090001
1051496,1016080069
1074156,1016080058
1051495,1016080057
1051494,1016080056
1082661,1016080023
1082660,1016080023
1082659,1016080023
1051493,1016080017
1051492,1016080005
1051491,1016080001
1051489,1016077503
1051486,1016077501
1051490,1016070069
1051488,1016070005
1051487,1016070003
1082315,1016050024
1082314,1016050024
1082313,1016050024
1082312,1016050024
1079193,1016050024
1079192,1016050024
1051485,1016040023
1051484,1016040017
1085820,1016040013
1795026,1016040006
1795025,1016040006
1795024,1016040006
1795023,1016040006
1084456,1016040006
1083924,1016040006
1083923,1016040006
1083921,1016040006
1083920,1016040006
1083919,1016040006
1051483,1016040006
1051482,1016040001
1051481,1016030158
1051480,1016030069
1051479,1016030063
1051478,1016030060
1051477,1016030059
1051476,1016030058
1051475,1016030057
1051474,1016030053
1051473,1016030052
1051472,1016030051
1051471,1016030050
1051470,1016030039
1051469,1016030035
1051468,1016030034
1051467,1016030033
1051466,1016030031
1051465,1016030029
1051464,1016030027
1051463,1016030025
1051462,1016030020
1051461,1016030014
1081332,1016030011
1081331,1016030011
1051460,1016030009
1051459,1016030001
1051442,1016027502
1051446,1016027501
1051458,1016020069
1051457,1016020066
1051456,1016020060
1051455,1016020058
1051454,1016020057
1051453,1016020050
1051452,1016020046
1051451,1016020044
1051450,1016020042
1051449,1016020040
1051448,1016020038
1051447,1016020033
1051445,1016020027
1051444,1016020025
1051443,1016020020
1051441,1016020013
1051440,1016020012
1051439,1016020009
1051438,1016020007
1051437,1016020001
1051436,1016010027
1051435,1016010018
1051434,1016010001
1089780,1016007503
1089333,1016007502
1085936,1016007501
1051429,1016007501
1051432,1016000030
1074155,1016000026
1051430,1016000021
1051428,1016000015
1087782,1015997502
1086518,1015997501
1051424,1015990070
1051423,1015990068
1051422,1015990067
1051421,1015990065
1089520,1015990064
1089519,1015990062
1089518,1015990061
1051420,1015990044
1074135,1015990021
1089517,1015990009
1051415,1015990006
1051414,1015990003
1051413,1015990001
1085249,1015960075
1083318,1015960001
1083317,1015960001
1083316,1015960001
1083315,1015960001
1083314,1015960001
1083313,1015960001
1083312,1015960001
1083311,1015960001
1083310,1015960001
1083309,1015960001
1051411,1015950065
1084511,1015950031
1051410,1015950015
1051409,1015950007
1051408,1015950006
1083918,1015950001
1083917,1015950001
1051407,1015950001
1051406,1015940069
1051405,1015940065
1051404,1015940061
1051403,1015940058
1051402,1015940054
1051401,1015940050
1078799,1015940042
1078798,1015940042
1051400,1015940041
1051399,1015940040
1051398,1015940030
1051397,1015940029
1051396,1015940026
1051395,1015940022
1051394,1015940017
1051393,1015940012
1051392,1015940007
1051391,1015940002
1089043,1015920001
1089042,1015920001
1089041,1015920001
1085796,1015920001
1051390,1015900048
1051389,1015900044
1051388,1015900042
1051387,1015900041
1051386,1015900036
1051385,1015900030
1051383,1015900019
1051382,1015900008
1051381,1015900007
1051380,1015890041
1051379,1015890034
1051378,1015890023
1051377,1015890019
1051376,1015890002
1089040,1015870001
1085696,1015870001
1051374,1015870001
1051373,1015860043
1051372,1015860035
1051371,1015860021
1051370,1015860013
1051369,1015860005
1051368,1015860001
1051367,1015850147
1051366,1015850146
1051365,1015850143
1051364,1015850140
1051363,1015850051
1051362,1015850049
1051361,1015850048
1051360,1015850047
1051359,1015850046
1051358,1015850045
1051357,1015850044
1051356,1015850043
1051355,1015850042
1051354,1015850041
1051353,1015850040
1051352,1015850036
1051351,1015850035
1051350,1015850034
1051349,1015850023
1051348,1015850018
1051347,1015850017
1051346,1015850016
1051345,1015850014
1051344,1015850013
1051343,1015850012
1051342,1015850008
1051341,1015850007
1051340,1015850005
1051339,1015850001
1051322,1015847502
1087742,1015847501
1051338,1015840148
1078788,1015840049
1078787,1015840049
1051337,1015840048
1051336,1015840046
1051335,1015840045
1051334,1015840044
1078754,1015840042
1078753,1015840042
1051333,1015840041
1051332,1015840040
1051331,1015840039
1051330,1015840035
1051329,1015840033
1051327,1015840020
1051326,1015840019
1051325,1015840018
1051324,1015840017
1051323,1015840016
1051321,1015840014
1051320,1015840013
1051319,1015840012
1051318,1015840011
1051317,1015840010
1051316,1015840009
1051315,1015840008
